(1919,2)
(1920,2)
(1921,1)
(1922,2)
(1923,2)
(1925,6)
(1926,7)
(1927,6)
(1928,3)
(1929,3)
(1930,5)
(1931,6)
(1932,7)
(1933,7)
(1934,6)
(1935,6)
(1936,8)
(1937,11)
(1938,5)
(1939,9)
(1940,15)
(1941,9)
(1942,10)
(1943,10)
(1944,13)
(1945,11)
(1946,10)
(1947,13)
(1948,11)
(1949,10)
(1950,13)
(1951,10)
(1952,11)
(1953,13)
(1954,14)
(1955,17)
(1956,16)
(1957,17)
(1958,21)
(1959,20)
(1960,12)
(1961,17)
(1962,16)
(1963,23)
(1964,15)
(1965,18)
(1966,8)
(1967,21)
(1968,18)
(1969,16)
(1970,14)
(1971,22)
(1972,22)
(1973,24)
(1974,23)
(1975,20)
(1976,20)
(1977,20)
(1978,27)
(1979,29)
(1980,37)
(1981,41)
(1982,40)
(1983,33)
(1984,55)
(1985,60)
(1986,92)
(1987,62)
(1988,60)
(1989,54)
(1990,66)
(1991,53)
(1992,94)
(1993,145)
(1994,219)
(1995,295)
(1996,299)
(1997,279)
(1998,298)
(1999,253)
(2000,135)
